Assunto,Ocorrência
Computação,94
Educação,24
Inclusão digital,23
Aprendizagem,16
Laboratório de informática,14
Software educacional,14
Computação - instrução e estudo,13
Tecnologias da Informação e Comunicação (TICs),13
Escola pública,12
Software - desenvolvimento,12
Educação inclusiva,11
Tecnologia,11
Aplicativos,10
Ciência da Computação,10
Ensino,9
Gamificação,9
Ensino fundamental,8
Ensino médio,8
Software educativo,8
Tecnologia assistiva,8
Tecnologia Educacional,8
Matemática,7
Moodle,7
Pensamento computacional,7
Tecnologia da Informação e Comunicação - TICs,7
Banco de dados,6
Mineração de dados,6
Software,6
Software de aplicação - desenvolvimento,6
Tecnologia - Educação,6
Arduino,5
Educação básica,5
Evasão universitária,5
Jogos,5
Linguagem de programação (Computadores),5
Objetos de aprendizagem,5
Segurança da informação,5
Softwares educativos,5
Tecnologia na educação,5
Deficiência intelectual,4
Educação à distância,4
Education,4
Enade,4
Ensino à distância (EaD),4
Ensino aprendizagem,4
Ensino superior,4
Informática,4
Informática Educativa,4
Inteligência Artificial,4
Kdd,4
Professor,4
Professores - formação,4
Redes sociais on-line,4
Tecnologia da informação e comunicação,4
Adianti Framework,3
Ambientes virtuais de aprendizagem,3
Análise estatística,3
Aprendizado de máquina,3
Aprendizagem - avaliação,3
Autismo,3
Base Nacional Comum Curricular (BNCC),3
Biologia computacional,3
Computação - Formação Docente,3
Computação em nuvem,3
Computadores,3
Dados abertos,3
Data Mining,3
Educação de jovens e adultos,3
Educação especial,3
Ensino - Ambiente Virtual,3
Ensino e aprendizagem,3
Ensino remoto,3
Escolas públicas,3
Ferramenta pedagógica,3
Formação de Professores,3
Games,3
Grafos,3
Jogo,3
Jogos digitais,3
Learning,3
Metaverso,3
Metodologia,3
NoSQL (Banco de dados),3
Nuvem (Computação),3
Pandemia de Covid-19,3
Professores,3
Robótica,3
Software livre,3
Softwares educacionais,3
Teaching,3
Tecnologia da Informação e Comunicação - TIC's,3
Tecnologias educacionais,3
TIC'S,3
Universidade de Brasília (UnB) - Ciência da Computação,3
	Aprendizado de máquina,2
	Educação especial,2
	Mineração de dados,2
	Tecnologia na educação,2
Acessibilidade,2
Acessibilidade digital,2
Algoritmo,2
Ambientes virtuais,2
Aplicações web,2
Aplicativo - design,2
Aprendizado,2
Armazenamento de dados,2
Astronomia - Estudo e ensino,2
Dbscan,2
Deficientes visuais - educação,2
Docência,2
Ecossistema educacional,2
Educação a Distância,2
Educação ambiental,2
Educação popular,2
Educação Profissional,2
Educational Software,2
Engenharia de software,2
Ensino A Distância,2
Ensino da Matemática,2
Ensino de matemática,2
Escolas,2
Evasão escolar,2
Fpt,2
Game,2
Gamification,2
Google Sala de Aula,2
Graph,2
Inclusive Education,2
Informática Educacional,2
Informática na educação,2
Interação homem-máquina,2
Interdisciplinaridade,2
Interface,2
Java (Linguagem de programação de computador),2
Jogo Educativo,2
Jogos educativos,2
Jogos Educativos - Matemática,2
K-Medoids,2
K-Nn,2
Matemática - estudo e ensino,2
Mlp,2
Necessidades especiais,2
Novas tecnologias,2
Nuvens federadas,2
Php,2
Pibid,2
Processamento de imagens - técnicas digitais,2
Processamento eletrônico de dados,2
Produtividade,2
Programação,2
Programação (Computadores),2
Programação de Computador,2
Prouni,2
Redes neurais (Computação),2
Redes neurais convolucionais (Computação),2
Redes sociais,2
Sistema multiagente,2
Sistemas de informação,2
Smartphones,2
Software de aplicação,2
Software educacional - Protocolo de análise,2
Superpixels,2
Tecnologia da educação,2
Tecnologia de Informação e Comunicação - TIC'S,2
Tecnologias digitais,2
Teoria Da Computação,2
Teoria Dos Grafos,2
TICS,2
Treewidth,2
Universidade de Brasília (UnB),2
	Aplicativos,1
	Aprendizado por reforço,1
	Ataque de negação de serviço,1
	Banco de dados,1
	Base Nacional Comum Curricular (BNCC),1
	Bioinformática,1
	Computação em nuvem,1
	Deficiência intelectual,1
	Educação musical,1
	Engenharia de software,1
	Inteligência artificial,1
	Internet das coisas,1
	Matemática - estudo e ensino,1
	Mobilidade urbana,1
	Nuvem (Computação),1
	Ontologia,1
	Quantização,1
	Realidade virtual na educação,1
	Replicação Máquina de Estados (RME),1
	Sistema de Informação Geográfica (SIG),1
	Sistemas de computação,1
	Software - desenvolvimento,1
	Tecnologia da informação e comunicação,1
	Texto - classificação,1
	UML (Computação),1
